"Country","GDP_Per_Capita","Inflation","Unemployment","Life_Expectancy","Literacy_Rate","Export_Percent_GDP","Import_Percent_GDP","FDI_Percent_GDP","Poverty_Rate","Internet_Users","Category"
"South Africa",15779,5.06,9.1,71.4,88.1,54.4,46,2.56,23.1,65.8,"Developing"
"Egypt",25118,6.81,6.8,71.2,86.7,30.7,51.9,3.63,21.6,74.5,"Developing"
"Morocco",19146,4.98,6.01,70.6,87.6,44.5,56,2.65,23,75.2,"Developing"
"Tunisia",18505,6.28,10.05,74.1,83.3,48.8,60.7,3.67,29.9,68,"Developing"
"Algeria",23089,4.91,9.5,68.4,90,43.4,44.8,4.64,21.3,58.6,"Developing"
"Jordan",15126,3.86,4.98,74.6,83.8,35,27,2.86,19,57.5,"Developing"
"Lebanon",16199,7.32,7.81,74.6,87.1,49.5,45.3,5.21,6.9,63.3,"Developing"
"Oman",27590,6.61,6.21,68.4,89.5,43.4,46.6,4.85,31.5,74.4,"Developing"
"Saudi Arabia",18045,8.09,3.86,73.9,84.9,33.5,43.8,3.41,15.6,52.3,"Developing"
"Iran",24534,5.6,8.3,79.3,90.3,30.9,49.5,4.77,29.9,52.9,"Developing"
"Iraq",12246,7.19,7.84,70.3,82.7,58.7,53.1,5.4,19.9,62.8,"Developing"
"Ecuador",17238,8.46,7.81,74.5,76.8,36.6,40.9,5.77,25.7,71.2,"Developing"
"Bolivia",19514,5.08,8.43,69.7,89.9,27.2,42.6,4.24,17.5,60.7,"Developing"
"Paraguay",19200,3.52,9.76,75.3,91.4,46.3,48.2,4.39,20.6,75.1,"Developing"
"Uruguay",13977,5.14,8.41,72.7,86.9,44.5,40.6,4.4,19.1,70.7,"Developing"
"Panama",18077,5.18,6.77,77,90,31.2,45.7,6.23,17.1,66.6,"Developing"
"Costa Rica",13690,5.73,6.53,67.6,83.4,26.5,29.3,5.85,17.4,74.6,"Developing"
"Dominican Republic",20851,8.07,7.74,71.8,87.5,41.1,36,5.5,23.1,71.1,"Developing"
"Kazakhstan",22339,5.01,8.62,70.4,80.2,51.1,34.4,4.16,17,64.4,"Developing"
"Uzbekistan",9100,6.06,5.92,71.4,92.7,47.1,38.2,4.95,7.8,69.8,"Developing"
"Azerbaijan",22943,5.16,7.63,70.1,95.4,38.1,39.5,4.98,17,73.2,"Developing"
"Afghanistan",3856,7.72,13.43,61.3,71.3,21,27.8,4.41,36.9,37.1,"Lower Developing"
"Yemen",2842,18.05,9.08,62.2,83.4,20.7,39.2,2.83,30.5,28.7,"Lower Developing"
"Somalia",4355,8.62,11.44,62.9,66.3,27.9,34.4,2.73,53.2,31.3,"Lower Developing"
"Ethiopia",4653,10.19,15.66,64.5,65.4,27.1,33.2,0.81,40.5,30.8,"Lower Developing"
"Sudan",3776,11.95,13.62,65.7,65.8,10.2,38.2,3.16,37.8,25.5,"Lower Developing"
"South Sudan",3644,9.92,13.37,68.3,65.6,35.3,27.9,1.48,67.5,11.8,"Lower Developing"
"Chad",3424,8.07,8.89,62.6,50.2,29.7,25.8,1.61,41.6,35.5,"Lower Developing"
"Niger",5661,13.14,10.19,63.8,51.6,44.9,31.5,3.42,38.5,39.6,"Lower Developing"
"Mali",3776,14.85,9.71,73,64.4,32.8,47.3,2.05,44.4,19.1,"Lower Developing"
"Burkina Faso",3342,9.91,13.19,64.7,60.4,24.9,35.4,0.75,29.5,46.8,"Lower Developing"
"Burundi",992,11.69,9.03,63.8,65.4,47.6,37.3,4.27,45.9,35.9,"Lower Developing"
"Rwanda",1935,9.71,13.69,57.6,48.1,47.8,33.7,0.12,41.2,45.4,"Lower Developing"
"Uganda",3422,13.05,8.65,63,53,19.5,38.3,3.07,45.7,22.4,"Lower Developing"
"Tanzania",3706,6.53,17.49,62.1,56.2,31.3,28.3,3.52,34.1,33.7,"Lower Developing"
"Mozambique",3777,16.96,13.38,63,72.9,26.5,43.1,1.87,33.8,31,"Lower Developing"
"Malawi",4322,8.19,9.9,60.7,56.2,29.3,39.1,2.94,36.5,39.7,"Lower Developing"
"Zambia",3306,5.62,12.72,60.3,58.6,29.6,29.4,2.94,35.9,26.2,"Lower Developing"
"Zimbabwe",4715,8.95,10.94,60.1,65.6,19.2,35.4,3.54,52.4,31.9,"Lower Developing"
"Madagascar",2578,10.44,13.11,62.1,62.4,30,40,2.98,54.6,14.2,"Lower Developing"
"Sierra Leone",2292,14.87,12.73,68.5,66.2,40.2,38.9,2.26,40.7,24.2,"Lower Developing"
"Liberia",2271,12.73,8.96,67.2,83.4,26.9,45.4,3.42,39.1,33.3,"Lower Developing"
"Guinea",4242,10.43,9.63,61.6,56,26.9,30.7,3.3,39.4,24.9,"Lower Developing"
"Guinea-Bissau",3417,5.83,12.9,56.3,62.6,37.8,42.8,1.56,42.6,31.6,"Lower Developing"
"Benin",4290,7.4,16.92,59.6,60.9,34.3,42.3,1.1,42.8,27.3,"Lower Developing"
"Togo",3232,9.51,15.25,61.2,77.1,16.5,33.9,2.66,44.3,38.1,"Lower Developing"
"Central African Republic",2908,17.66,10.13,63.4,58.8,29.6,28.2,2.23,36,43.7,"Lower Developing"
"Democratic Republic of the Congo",3132,4.42,14.48,60.3,64.3,39.6,27.4,1.51,35.2,23.8,"Lower Developing"
"Republic of the Congo",1647,13.39,11.85,71,71.3,37.9,38.2,2.58,51.6,28.9,"Lower Developing"
"Cameroon",2330,8.42,12.9,61.9,56.5,30.9,34.5,1.18,37.6,46.4,"Lower Developing"
"Gambia",2058,15,12.78,58.1,78.2,33,47.5,2.66,44.4,10,"Lower Developing"
"Lesotho",4554,6.58,19.73,62.4,70.4,19.6,38.7,1.88,41.5,28.8,"Lower Developing"
"Eswatini",2903,10.43,8.44,59,56.4,30.1,32.4,3.46,34.3,52.6,"Lower Developing"
"Haiti",4289,6.7,12.3,63.6,68.6,21.3,27.8,4.92,46.7,53.9,"Lower Developing"
"Myanmar",5016,12.71,6.66,63.9,63.3,24.8,30.9,1.58,43.4,33.6,"Lower Developing"
"Laos",3308,14.45,13.77,64.4,67.5,34.5,37.4,3.56,53.2,23.4,"Lower Developing"
"Cambodia",3784,15.85,15.29,56.5,64.3,20,31.8,3.33,42.9,33.7,"Lower Developing"
"Timor-Leste",1749,12.39,16.34,63.9,73.6,29.9,38.6,2.43,39.3,25.5,"Lower Developing"
"Papua New Guinea",2681,15.53,6.22,64.2,54.2,31,32.7,2.05,44.2,46.5,"Lower Developing"
"Djibouti",3556,13.74,13.24,57.3,60.8,28.4,34.3,4.08,32.5,23.9,"Lower Developing"
"Eritrea",3799,9.6,16.78,66.8,63,40.8,29.9,0.49,35.3,35.7,"Lower Developing"
